BranchID,BankID,BranchName,City,State,Region,RiskRating
B01001,1,JPMorgan Chase New York Branch 1,New York,New York,North America,High
B01002,1,JPMorgan Chase Los Angeles Branch 2,Los Angeles,California,North America,Low
B01003,1,JPMorgan Chase Chicago Branch 3,Chicago,Illinois,North America,Medium
B01004,1,JPMorgan Chase Houston Branch 4,Houston,Texas,North America,Low
B01005,1,JPMorgan Chase Dallas Branch 5,Dallas,Texas,North America,Low
B01006,1,JPMorgan Chase San Francisco Branch 6,San Francisco,California,North America,High
B01007,1,JPMorgan Chase Miami Branch 7,Miami,Florida,North America,Low
B01008,1,JPMorgan Chase Seattle Branch 8,Seattle,Washington,North America,High
B01009,1,JPMorgan Chase New York Branch 9,New York,New York,North America,Low
B01010,1,JPMorgan Chase Los Angeles Branch 10,Los Angeles,California,North America,Low
B02001,2,Bank of America New York Branch 1,New York,New York,North America,Low
B02002,2,Bank of America Los Angeles Branch 2,Los Angeles,California,North America,Medium
B02003,2,Bank of America Chicago Branch 3,Chicago,Illinois,North America,High
B02004,2,Bank of America Houston Branch 4,Houston,Texas,North America,Medium
B02005,2,Bank of America Dallas Branch 5,Dallas,Texas,North America,High
B02006,2,Bank of America San Francisco Branch 6,San Francisco,California,North America,High
B02007,2,Bank of America Miami Branch 7,Miami,Florida,North America,High
B02008,2,Bank of America Seattle Branch 8,Seattle,Washington,North America,Medium
B02009,2,Bank of America New York Branch 9,New York,New York,North America,Low
B02010,2,Bank of America Los Angeles Branch 10,Los Angeles,California,North America,Low
B03001,3,Wells Fargo New York Branch 1,New York,New York,North America,Low
B03002,3,Wells Fargo Los Angeles Branch 2,Los Angeles,California,North America,Low
B03003,3,Wells Fargo Chicago Branch 3,Chicago,Illinois,North America,High
B03004,3,Wells Fargo Houston Branch 4,Houston,Texas,North America,Low
B03005,3,Wells Fargo Dallas Branch 5,Dallas,Texas,North America,Low
B03006,3,Wells Fargo San Francisco Branch 6,San Francisco,California,North America,Medium
B03007,3,Wells Fargo Miami Branch 7,Miami,Florida,North America,High
B03008,3,Wells Fargo Seattle Branch 8,Seattle,Washington,North America,High
B03009,3,Wells Fargo New York Branch 9,New York,New York,North America,Low
B03010,3,Wells Fargo Los Angeles Branch 10,Los Angeles,California,North America,Low
B04001,4,Citigroup New York Branch 1,New York,New York,North America,Medium
B04002,4,Citigroup Los Angeles Branch 2,Los Angeles,California,North America,Low
B04003,4,Citigroup Chicago Branch 3,Chicago,Illinois,North America,Low
B04004,4,Citigroup Houston Branch 4,Houston,Texas,North America,Low
B04005,4,Citigroup Dallas Branch 5,Dallas,Texas,North America,High
